rank,artist,album,genre,review
83,I-Lp-O In Dub (Ilpo Väisänen),Communist Dub,Electronic,"Hell just froze over: Pan Sonic's lesser-spotted Ilpo Väisänen finally returns with a solo album of industro-dub rhythms recalling his little-known but killer output as Liima and Piiri. It's all new material, stringently focussed on the bare-bones dynamics of Jamaican dub proper but, filtered with the precise, austere approach of Pan Sonic as a ""statement against technocracy and the erosion of human community."
84,Kreng,The Summoner,Dark Ambient / Drone / Metal,"We’ve been waiting for this one for a while - one of the most talented and overlooked composers in the death-ambient/invisible soundtrack realm finally returns with a petrifying suite of doom-laced string compositions on this excellent new album for Miasmah; 'The Summoner'. In the course of three albums and handful of shortform releases, Pepijn Caudron has become a byword for Bosch-like visions of a soundtrack-quality calibre."
85,,,Unknown,No review available
86,Nozinja,Nozinja Lodge,World,"Jaw-dropping debut solo album from Nozinja, the brains behind South Africa's maddest export - Shangaan Electro."
87,Low Jack,Sewing Machine,Techno / House,The nastiest cat in Paris rips the head off it with eight tracks of rabid noise tek for In Paradisum.
88,Björk,Vulnicura,Electronic,"Björk comes to terms with the breakdown of a longterm relationship with some help from Arca, The Haxan Cloak, Antony and Spaces.  It's arguably her most coherent and focused album since 'Vespertine' (2001), her vocals incredibly raw and emotional - understandably in the light of tragic, personal events - yet controlled with near operatic poise and matched by the waking-dream-like qualities of the production's skewed meter and tendencies toward keening, lushly expressive discord."
89,Sam Kidel,Untitled (Movements),Electronic,"**Limited Edition pressing of 200 copies from Sam Kidel, aka El Kid and a member of Killing Sound and Young Echo**  Sam Kidel a.k.a. El Kid presents an extended drone work for the excellent Entr’acte label inspired by Henri Michaux's 'Untitled (Movements)' drawing."
90,Lightning Bolt,Fantasy Empire,Dark Ambient / Drone / Metal,"""Fantasy Empire, Lightning Bolt’s sixth album and first in five years, is a fresh take from a band intent on pushing themselves musically and sonically while maintaining the aesthetic that has defined not only them, but an entire generation of noisemakers. It marks many firsts, most notably their first recordings made using hi-fi recording equipment at the famed Machines With Magnets, and their first album for Thrill Jockey."
91,Bossa Luce,Nel Salotto Degli Appestati,Industrial / Wave / Electro,"Vereker's Endangered Species rack up a necessary survey of Bossa Luce's possessed Italian post punk/EBM voodoo with 10 bleedin' cuts drawn from his dead limited, privately issued early tapes.  Dank, destroyed, devious, devilish; all words that alliterate with and sum up Bossa Luce's barrelling and headstrong sound, sprung from a heady mixture of inspirations from the demented atmospheres of Maurizio Bianchi to knackered dub techniques and Belgian EBM backbone."
92,Florian Hecker & Mark Leckey,Hecker Leckey Sound Voice Chimera,Extreme / Noise / Computer Music,"'Hecker Leckey Sound Voice Chimera' presents a radical mashup of works by two probing, multidisciplinary artists among the most vital of their generation."
93,Phil Collins,My Heart’s In My Hand...,Electronic,"Strictly Limited Copies - Includes new and specially-comissioned music by Demdike Stare, Lætitia Sadier, David Sylvian, Pye Corner Audio, Maria Minerva, Peaking Lights and many more."
94,Mika Vainio & Vigroux,"Peau froide, léger soleil",Electronic,"Sheathed in some of the best album artwork of 2015, Mika Vainio and Franck Vigroux reveal the buzzing and psyched-out electronic sculptures of 'Peau froide, léger soleil' on Shapednoise's Cosmo Rhythmatic label."
95,Lifted,1,Electronic,"Lifted is a stellar new project sparked off by Matthew Papich (Co La) and Future Times overlord Max D for PAN. Realised and rendered together with Jordan GCZ and Gigi Masin, among others, their debut LP '1' is an elegant exercise in breaking free of the grid, consolidating a spectrum of congruent ideas and idiosyncratic styles with a beautifully communal spirit putting a contemporary spin on the freedoms of '70s jazz fusion."
96,Andrea Taeggi,Mama Matrix Most Mysterious,Electronic,"Type return with Andrea Taeggi's probing and propulsive modular session 'Mama Matrix Most Mysterious', recorded on the Buchla and Serge systems at Sweden's EMS facility. Marking a considered step away from the rugged tonalities of Taeggi's solo work as Gondwana, or in the Lumisokea duo with Koenraad Ecker, the Italian artist gets to grips with EMS' coveted gear across six tense and icy transmissions clearly in thrall to the machines' capacity for making unique timbres and rhythms."
97,Dj Paypal,Sold Out,Jungle / Footwork,"Fresh footwork trans-action from your boy DJ Paypal on LA's Brainfeeder, for your health. The sample-happy producer beloved of Kode 9 of LuckyMe goes loose and wild with eight tracks including three collaborations with Chicago's Teklife crew."
98,Jim O'Rourke,Simple Songs,Indie / Alternative,"Jim O’Rourke is ready to talk to you again with his first pop album since 2001.  ""Simple Songs’ is an amazing record of musical song entertainment because Jim O’Rourke knows what he wants and how to get it. The range of sounds and songs that have turned Jim’s head are numerous enough to have crushed together into something that is unmistakably his. The music is played so immaculately by so many instruments and most of them by the creator’s hand."
99,Oren Ambarchi,Live Knots,Electronic,"'Live Knots' presents two immersive live recordings of Oren Ambarchi playing the epic 'Knots' from 'Audience Of One' (Touch, 2012) in Tokyo and Krakow's Unsound Festival.  Captured with alternately intimate and widescreen fidelity, the original elements of cyclonic guitar harmony and quicksilver percussion are twisted different ways across the two performances, exploring and testing every nuance of the track's framework."
100,Mittland Och Leo,Optimists,Industrial / Wave / Electro,"This is so good! 'Optimists' is the enchanting debut album of rustling drum machines and diaphanous, bittersweet synth lines by Joke Desmet and Milan Warmoeskerken, aka Mittland och Leo. Equal parts Broadcast-like twee exotica and Suicide-style motorik funk, it also holds up very neatly next to like-minded missions from Not Waving, Moon Wheel or early, ambient AFX, hitting the sweetspot of smart simplicity with every turn."
