rank,artist,album,genre,review
83,A.K.Adrix,Código De Barras,Electronic,"‘Codigo De Barras’ is the exceptionally tight first album from Lisbon-via-Manchester’s cult batida producer P. Adrix - now operating as A.k.Adrix -  an LP bursting with shockingly sharp-cut but breezily animated dancers from the top shelf of kuduro, all fire this one!!! Making good on the promise of P. Adrix’s incendiary 2018 debut EP, the Angolan-Portuguese producer’s first album as A.K."
84,Etrusca 3D,Etrusca 3D,Electronic,Vaporwave pioneer and new age scryer Spencer Clark (The Skaters) and poetic enigma Francesco Cavaliere merge minds as Etrusca 3D with a heady synth throwback summoning 600BC deities into the C.
85,Florian T M Zeisig,Coatcheck,Electronic,Absorbing dub techno and ambient impressionism from Berlin-based coatroom operator and producer Florian T M Zeisig - a strong look for Huerco S./Pendant/Perila fiends and tipped if yr into the Chain Reaction >> Jan Jelinek >> Sferic >> Topdown Dialectic axis.
86,Maria Minerva,Soft Power,Industrial / Wave / Electro,"Glittering 1st new album in 6 years from pioneering alt-dance-pop sorceress Maria Minerva; a beautifully strong reminder of her timeless, breezy way with ohrwurm hooks and lissom ambient house hybrids for her pals at 100% Silk. Recorded in Hollywood, ‘Soft Power’ arrives nearly 10 years since Maria’s pivotal debut (‘Tallinn At Dawn’) with a blend of gauzy and seductively elegant songwriting that’s faithful to the pop urge that's behind all her work."
87,Roméo Poirier,Hotel Nota,Electronic,"If you plot a line between Jon Hassell’s 'Dream Theory In Malaya' and Jan Jelinek’s 'Loop Finding Jazz Records', you’ll find this pearl lodged somewhere in between. Add in cover art that reminds us of the sun-bleached breeze of Antena’s eternally nostalgic 'Camino Del Sol' and you have three of our favourite albums referenced in one paragraph."
88,Beau Wanzer,Kitchen Clock,Industrial / Wave / Electro,"Chi-town beat mutant Beau Wanzer carves back to Delroy Edwards’ L.A. Club Resource with four killer, grotty bangers Chasing up a class 12” for Brew and split slab with Corporate Park, Wanzer slops out his machines between bits of slow, ferric sleaze in ’Stupid Drunk’ and the worn-down EBM nub of the EP’s title tune, and thru to a rusty techno slam-dancer ‘Vegetable Peeler’, while making time for soured, beat-less bedsit introspection on ‘Wilma’s Crate’. v into this."
89,Duval Timothy,Help,Electronic,"Oozing with classic but contemporary soul, ‘Help’ is the definitive album opus by multi-disciplinary artist Duval Timothy, who’s pulled in co-producers Rodaidh McDonald (King Krule, The xx) and Marta Salogni (Björk) for an excellent full length bullet. Dished up on his Carrying Colour label and also starring a glittering roll call of Lil Silva, Vegyn, Mr. Mitch, Dave Okumo, and Twin Shadow, a.o."
90,Ellen Fullman & Theresa Wong,Harbors,Modern Classical / Ambient,"A sort of slowly unfurling raga that plays tricks on your sense of depth and temporal perception, this stunning new album from long-string instrument master Ellen Fullman and cellist Theresa Wong has sent us into a light hypnotic trance with its slowly shifting tonal formations. Rarely is drone music so full of quietly cosmic eruptions - everything stays the same // nothing stays the same - pure aural alchemy."
91,Blacksea Não Maya,Máquina de Vénus,Electronic,"Príncipe’s reign of fire continues with the shockingly heavy return of the Blacksea Não Maya trio after the label’s banner year of shellings from Nídia, DJ Nigga Fox, and DJ Firmeza. In step with the more polished production advances of their label mates, Lisbon’s DJ Kolt, DJ Noronha, and DJ Perigoso - aka Blacksea Não Maya - arrive 5 years on from their previous showing with a remarkably darker, muscular take on mutated Angolan dance music."
92,Autechre,SIGN,Electronic,"‘Sign’ is Autechre’s first new album-album proper since ‘Elseq’ and contains some of their most emosh compositions in eons, perhaps since ‘Tri Repetae’. Practically pocket-sized in comparison to their sprawling torrent of live material and radio recordings in recent years, ’Sign’ is a return to the sort of concision found circa ‘Exai’ and their earlier albums."
93,Speaker Music,Black Nationalist Sonic Weaponry (Expanded Edition),Electronic,"Originally released in July, DeForrest Brown Jr.'s explosive fusion of jagged rhythm experiments and revolutionary jazz, now comes bundled with an additional 30-minute track that fleshes out his sprawling narrative in a fourth dimension."
94,Christos Chondropoulos,On Nature,Modern Classical / Ambient,"Properly captivating future folk reorientation from Athens-based Christos Chondropoulos, following a fascinating ace for The Tapeworm with mesmerising fusions of ancient and contemporary folk and dance spirits for the 4th world ambient ramblers at 12th Isle - a big RIYL Sublime Frequencies, Paul DeMarinis, Carl Stone, Jay Glass Dubs, Spencer Clark Taking his native Greece’s historic position as a cultural confluence stemming from its ancient empire strewn across Asia, Africa and Europe,"
95,Eartheater,Phoenix: Flames Are Dew Upon My Skin,Electronic,"Following last year's brilliant ""Trinity"" mixtape and LEYA collab ""Angel Lust"", Alexandra Drewchin returns with her most assertive record to date, a fiery collection of modern dream-folk that blurs the lines between ambient, shoegaze and experimental pop."
96,Maxwell Sterling,Laced With Rumour: Loud-Speaker Of Truth,Electronic,"Weaving an intricately detailed tapestry of meditative, spiritual jazz and dream electronics, Maxwell Sterling’s astonishing second album 'Laced With Rumour: Loud-Speaker Of Truth’ blooms in the cracks between Alice Coltrane, Talk Talk and Kara-Lis Coverdale, gently coaxing us into a trance-like reverie where the real and artificial morph into one pulsating organism."
97,Bill Callahan,Gold Record,Folk / Roots,"​Bill Callahan returns with another solo jammer, which opens with him exclaiming ""hello, I'm Johnny Cash."" It's good too; Smog devotees will find plenty here to enjoy and Callahan's deep, smoky tones have rarely sounded so absorbing. The songs are sad and graceful, slow and seductive, simple and enjoyable. Callahan's a witty, gifted songwriter and his take on deeply Americanized country and folk tropes is never dull."
98,Stephen O'Malley,Auﬂösung der Zeit,Dark Ambient / Drone / Metal,"Visionary Sunn 0))) guitarist Stephen O’Malley collapses black metal and spectralist music into the claw-handed amp worship of ‘Auflösung der Zeit’, a crushing, tantric 45 minute live recording made in Paris, 2018 and livicated to Iancu Dumitrescu."
99,Laura Cannell,The Earth With Her Crowns,Modern Classical / Ambient,"Following last year’s incredible, all-vocal 'Sing As The Crow Flies' collaboration with Polly Wright, Laura Cannell returns with a new album improvised and recorded in single takes inside Wapping Hydraulic Power Station, London, over two days in February & March 2019."
100,Joanne Robertson,Painting stupid girls,Electronic,"Crucial, lilting folk-pop magic from quietly admired cult figure Joanne Robertson; collaborator with Dean Blunt, David Cunningham (Flying Lizards) and Paddy Shine now going solo for first time in four years. 'Painting Stupid Girls’ is the follow-up to Joanne’s ‘Walhalla’ album with Dean Blunt in 2017 (and her input on Blunt's ‘Free Jazz’, 2020), and finds her singing solo accompanied by nowt but acoustic guitar and natural-sounding reverbs."
